date,state,district,pincode,age_0_5,age_5_17,age_18_greater
26-10-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
26-10-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
26-10-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
13-10-2025,Telangana,Jayashankar Bhupalpally,506366,2,2,0
16-10-2025,Telangana,Jayashankar Bhupalpally,505184,1,0,0
16-10-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
15-10-2025,Telangana,Jayashankar Bhupalpally,505504,1,1,0
17-10-2025,Telangana,Jayashankar Bhupalpally,506348,1,2,0
17-10-2025,Telangana,Jayashankar Bhupalpally,506356,3,3,0
19-10-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
25-10-2025,Telangana,Jayashankar Bhupalpally,506169,6,1,0
25-10-2025,Telangana,Jayashankar Bhupalpally,506366,5,1,0
24-10-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
24-10-2025,Telangana,Jayashankar Bhupalpally,506366,0,1,0
27-10-2025,Telangana,Jayashankar Bhupalpally,506345,1,1,0
27-10-2025,Telangana,Jayashankar Bhupalpally,506356,0,2,0
28-10-2025,Telangana,Jayashankar Bhupalpally,506348,0,1,0
29-10-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
02-11-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
01-11-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
01-11-2025,Telangana,Jayashankar Bhupalpally,506345,3,0,0
31-10-2025,Telangana,Jayashankar Bhupalpally,505184,0,1,0
31-10-2025,Telangana,Jayashankar Bhupalpally,506169,2,1,0
11-11-2025,Telangana,Jayashankar Bhupalpally,506169,0,1,0
11-11-2025,Telangana,Jayashankar Bhupalpally,506348,2,0,0
15-11-2025,Telangana,Jayashankar Bhupalpally,506348,4,1,0
15-12-2025,Telangana,Jayashankar Bhupalpally,506348,2,1,0
25-11-2025,Telangana,Jayashankar Bhupalpally,505184,1,0,0
25-11-2025,Telangana,Jayashankar Bhupalpally,505504,2,0,0
05-11-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
05-11-2025,Telangana,Jayashankar Bhupalpally,506348,2,0,0
05-11-2025,Telangana,Jayashankar Bhupalpally,506356,1,1,0
03-11-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
07-11-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
10-11-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
13-11-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
14-11-2025,Telangana,Jayashankar Bhupalpally,506169,0,2,0
14-11-2025,Telangana,Jayashankar Bhupalpally,506348,1,2,0
14-11-2025,Telangana,Jayashankar Bhupalpally,506356,6,0,0
19-11-2025,Telangana,Jayashankar Bhupalpally,506168,2,2,0
19-11-2025,Telangana,Jayashankar Bhupalpally,506169,1,1,0
22-12-2025,Telangana,Jayashankar Bhupalpally,506348,4,0,0
25-12-2025,Telangana,Jayashankar Bhupalpally,505503,0,2,0
25-12-2025,Telangana,Jayashankar Bhupalpally,506348,0,2,0
24-12-2025,Telangana,Jayashankar Bhupalpally,505184,1,0,0
24-12-2025,Telangana,Jayashankar Bhupalpally,506169,4,0,0
26-12-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
01-01-2026,Telangana,Jayashankar Bhupalpally,506356,1,0,0
31-12-2025,Telangana,Jayashankar Bhupalpally,505503,1,3,0
09-06-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
13-06-2025,Telangana,Jayashankar Bhupalpally,506345,3,0,0
13-06-2025,Telangana,Jayashankar Bhupalpally,506356,3,2,0
15-06-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
14-06-2025,Telangana,Jayashankar Bhupalpally,506168,2,0,0
16-06-2025,Telangana,Jayashankar Bhupalpally,505503,2,4,0
19-06-2025,Telangana,Jayashankar Bhupalpally,506168,0,1,0
19-06-2025,Telangana,Jayashankar Bhupalpally,506356,3,0,0
17-06-2025,Telangana,Jayashankar Bhupalpally,505504,2,4,0
17-06-2025,Telangana,Jayashankar Bhupalpally,506168,1,1,0
01-09-2025,Telangana,Jayashankar Bhupalpally,506169,2,1,0
06-09-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
04-09-2025,Telangana,Jayashankar Bhupalpally,505503,2,2,0
04-09-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
09-09-2025,Telangana,Jayashankar Bhupalpally,506169,1,1,0
08-09-2025,Telangana,Jayashankar Bhupalpally,506366,2,0,0
10-09-2025,Telangana,Jayashankar Bhupalpally,506168,2,0,0
10-09-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
10-09-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
11-09-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
11-09-2025,Telangana,Jayashankar Bhupalpally,506356,1,1,0
12-09-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
12-09-2025,Telangana,Jayashankar Bhupalpally,506168,1,1,0
13-09-2025,Telangana,Jayashankar Bhupalpally,505503,0,1,0
17-09-2025,Telangana,Jayashankar Bhupalpally,505184,0,2,0
18-09-2025,Telangana,Jayashankar Bhupalpally,506168,4,0,0
18-09-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
18-09-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
20-09-2025,Telangana,Jayashankar Bhupalpally,506168,2,0,0
24-09-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
26-09-2025,Telangana,Jayashankar Bhupalpally,506164,0,1,0
26-09-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
26-10-2025,Telangana,Jayashankar Bhupalpally,506164,2,0,0
26-10-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
13-10-2025,Telangana,Jayashankar Bhupalpally,506169,5,1,0
13-10-2025,Telangana,Jayashankar Bhupalpally,506345,2,0,0
13-10-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
16-10-2025,Telangana,Jayashankar Bhupalpally,506345,3,0,0
16-10-2025,Telangana,Jayashankar Bhupalpally,506356,2,0,0
15-10-2025,Telangana,Jayashankar Bhupalpally,506348,2,0,0
15-10-2025,Telangana,Jayashankar Bhupalpally,506356,1,1,0
19-10-2025,Telangana,Jayashankar Bhupalpally,505184,2,0,0
19-10-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
18-10-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
25-10-2025,Telangana,Jayashankar Bhupalpally,505504,2,0,0
28-10-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
28-10-2025,Telangana,Jayashankar Bhupalpally,506356,0,1,0
27-10-2025,Telangana,Jayashankar Bhupalpally,505503,1,1,0
27-10-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
29-10-2025,Telangana,Jayashankar Bhupalpally,505184,2,0,0
31-10-2025,Telangana,Jayashankar Bhupalpally,506168,2,0,0
31-10-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
02-11-2025,Telangana,Jayashankar Bhupalpally,506168,0,1,0
10-11-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
12-11-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
16-11-2025,Telangana,Jayashankar Bhupalpally,505503,2,0,0
16-11-2025,Telangana,Jayashankar Bhupalpally,506345,1,1,0
15-11-2025,Telangana,Jayashankar Bhupalpally,506168,3,1,0
19-11-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
25-11-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
05-11-2025,Telangana,Jayashankar Bhupalpally,505503,2,0,0
03-11-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
03-11-2025,Telangana,Jayashankar Bhupalpally,506348,1,1,0
07-11-2025,Telangana,Jayashankar Bhupalpally,506345,1,1,0
08-11-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
08-11-2025,Telangana,Jayashankar Bhupalpally,506356,1,1,0
08-11-2025,Telangana,Jayashankar Bhupalpally,506366,1,1,0
09-11-2025,Telangana,Jayashankar Bhupalpally,505503,0,1,0
17-11-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,1
18-11-2025,Telangana,Jayashankar Bhupalpally,506168,1,1,0
15-12-2025,Telangana,Jayashankar Bhupalpally,505503,3,3,0
22-12-2025,Telangana,Jayashankar Bhupalpally,505503,4,0,0
22-12-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
26-12-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
24-12-2025,Telangana,Jayashankar Bhupalpally,505503,0,1,0
27-12-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
28-12-2025,Telangana,Jayashankar Bhupalpally,505503,1,1,0
29-12-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
31-12-2025,Telangana,Jayashankar Bhupalpally,506356,2,1,0
01-01-2026,Telangana,Jayashankar Bhupalpally,506345,1,1,0
03-01-2026,Telangana,Jayashankar Bhupalpally,506348,1,1,0
09-06-2025,Telangana,Jayashankar Bhupalpally,505184,1,0,0
09-06-2025,Telangana,Jayashankar Bhupalpally,505504,1,0,0
10-06-2025,Telangana,Jayashankar Bhupalpally,505503,2,1,0
13-06-2025,Telangana,Jayashankar Bhupalpally,506168,3,0,0
13-06-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
17-06-2025,Telangana,Jayashankar Bhupalpally,505503,2,1,0
17-06-2025,Telangana,Jayashankar Bhupalpally,506164,1,1,0
16-06-2025,Telangana,Jayashankar Bhupalpally,505504,2,1,0
16-06-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
02-09-2025,Telangana,Jayashankar Bhupalpally,506169,0,1,0
02-09-2025,Telangana,Jayashankar Bhupalpally,506348,1,1,0
03-09-2025,Telangana,Jayashankar Bhupalpally,505504,1,0,0
03-09-2025,Telangana,Jayashankar Bhupalpally,506168,3,0,0
01-09-2025,Telangana,Jayashankar Bhupalpally,505503,1,4,0
01-09-2025,Telangana,Jayashankar Bhupalpally,506356,5,0,0
04-09-2025,Telangana,Jayashankar Bhupalpally,506356,3,0,0
04-09-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
08-09-2025,Telangana,Jayashankar Bhupalpally,506168,2,0,0
09-09-2025,Telangana,Jayashankar Bhupalpally,505504,1,0,0
09-09-2025,Telangana,Jayashankar Bhupalpally,506168,2,0,0
11-09-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
10-09-2025,Telangana,Jayashankar Bhupalpally,505503,3,2,0
10-09-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
13-09-2025,Telangana,Jayashankar Bhupalpally,506169,3,0,0
13-09-2025,Telangana,Jayashankar Bhupalpally,506348,2,0,0
13-09-2025,Telangana,Jayashankar Bhupalpally,506356,2,0,0
16-09-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
16-09-2025,Telangana,Jayashankar Bhupalpally,506169,3,1,0
16-09-2025,Telangana,Jayashankar Bhupalpally,506356,2,0,0
17-09-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
19-09-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
19-09-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
23-09-2025,Telangana,Jayashankar Bhupalpally,505503,5,1,0
22-09-2025,Telangana,Jayashankar Bhupalpally,505503,3,0,0
22-09-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
22-09-2025,Telangana,Jayashankar Bhupalpally,506356,0,1,0
25-09-2025,Telangana,Jayashankar Bhupalpally,505503,2,0,0
25-09-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
24-09-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
27-09-2025,Telangana,Jayashankar Bhupalpally,505503,1,0,0
26-10-2025,Telangana,Jayashankar Bhupalpally,506168,0,1,0
13-10-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
15-10-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
16-10-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
17-10-2025,Telangana,Jayashankar Bhupalpally,505503,1,3,0
17-10-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
17-10-2025,Telangana,Jayashankar Bhupalpally,506345,2,0,0
19-10-2025,Telangana,Jayashankar Bhupalpally,505504,0,1,0
19-10-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
21-10-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
24-10-2025,Telangana,Jayashankar Bhupalpally,506345,2,1,0
25-10-2025,Telangana,Jayashankar Bhupalpally,506348,5,0,0
25-10-2025,Telangana,Jayashankar Bhupalpally,506356,4,0,0
28-10-2025,Telangana,Jayashankar Bhupalpally,506366,3,0,0
30-10-2025,Telangana,Jayashankar Bhupalpally,506164,5,0,0
30-10-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
29-10-2025,Telangana,Jayashankar Bhupalpally,505504,0,1,0
29-10-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
31-10-2025,Telangana,Jayashankar Bhupalpally,506164,1,0,0
02-11-2025,Telangana,Jayashankar Bhupalpally,505503,3,2,0
02-11-2025,Telangana,Jayashankar Bhupalpally,506345,2,0,0
02-11-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
02-11-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
10-11-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
09-11-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
09-11-2025,Telangana,Jayashankar Bhupalpally,506356,0,1,0
05-11-2025,Telangana,Jayashankar Bhupalpally,505184,1,0,0
08-11-2025,Telangana,Jayashankar Bhupalpally,505504,2,0,0
07-11-2025,Telangana,Jayashankar Bhupalpally,506366,1,1,0
06-11-2025,Telangana,Jayashankar Bhupalpally,506169,2,0,0
06-11-2025,Telangana,Jayashankar Bhupalpally,506348,0,1,0
06-11-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
12-11-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
12-11-2025,Telangana,Jayashankar Bhupalpally,506169,3,0,0
11-11-2025,Telangana,Jayashankar Bhupalpally,505184,1,0,0
13-11-2025,Telangana,Jayashankar Bhupalpally,506168,4,0,0
13-11-2025,Telangana,Jayashankar Bhupalpally,506356,1,0,0
13-11-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
14-11-2025,Telangana,Jayashankar Bhupalpally,505503,2,0,0
14-11-2025,Telangana,Jayashankar Bhupalpally,506168,2,2,0
15-11-2025,Telangana,Jayashankar Bhupalpally,505504,0,0,3
16-11-2025,Telangana,Jayashankar Bhupalpally,505184,1,0,0
16-11-2025,Telangana,Jayashankar Bhupalpally,506348,1,0,0
19-11-2025,Telangana,Jayashankar Bhupalpally,505503,2,1,0
19-11-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
15-12-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
15-12-2025,Telangana,Jayashankar Bhupalpally,506345,2,0,0
21-12-2025,Telangana,Jayashankar Bhupalpally,505503,1,0,0
22-12-2025,Telangana,Jayashankar Bhupalpally,506169,3,0,0
23-12-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
26-12-2025,Telangana,Jayashankar Bhupalpally,505503,1,0,0
28-12-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
28-12-2025,Telangana,Jayashankar Bhupalpally,506345,2,0,0
27-12-2025,Telangana,Jayashankar Bhupalpally,506168,1,0,0
27-12-2025,Telangana,Jayashankar Bhupalpally,506348,2,0,0
31-12-2025,Telangana,Jayashankar Bhupalpally,506345,2,1,0
09-06-2025,Telangana,Jayashankar Bhupalpally,506169,0,1,0
11-06-2025,Telangana,Jayashankar Bhupalpally,506345,1,0,0
11-06-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
10-06-2025,Telangana,Jayashankar Bhupalpally,505504,1,0,0
12-06-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
12-06-2025,Telangana,Jayashankar Bhupalpally,506356,0,1,0
13-06-2025,Telangana,Jayashankar Bhupalpally,505503,8,3,0
13-06-2025,Telangana,Jayashankar Bhupalpally,506169,1,1,0
17-06-2025,Telangana,Jayashankar Bhupalpally,506366,1,2,0
16-06-2025,Telangana,Jayashankar Bhupalpally,506168,0,2,0
16-06-2025,Telangana,Jayashankar Bhupalpally,506345,1,1,0
18-06-2025,Telangana,Jayashankar Bhupalpally,506169,1,0,0
19-06-2025,Telangana,Jayashankar Bhupalpally,506366,1,0,0
